id,job_title,company,location,work_type,experience_level,salary_range,skills_required,apply_url,description,source
JOB001,Senior Full Stack Engineer,Stripe,San Francisco CA,Remote,Senior,$160,000 - $195,000,"React, TypeScript, Node.js, Python, PostgreSQL, AWS, Docker",https://stripe.com/jobs,"Design and scale payment systems and developer APIs using modern web stacks.",LinkedIn
JOB002,Frontend Developer,Airbnb,Seattle WA,Hybrid,Mid-Level,$130,000 - $155,000,"React, Next.js, TypeScript, Tailwind CSS, Redux, GraphQL",https://careers.airbnb.com,"Build intuitive, accessible guest and host web experiences with high visual polish.",Indeed
JOB003,Backend Systems Engineer,Datadog,New York NY,Hybrid,Mid-Level,$140,000 - $170,000,"Python, Go, Docker, Kubernetes, PostgreSQL, Redis, Microservices",https://careers.datadoghq.com,"Build high-throughput telemetry ingestion pipelines and distributed services.",LinkedIn
JOB004,DevOps / SRE Engineer,Cloudflare,Austin TX,Remote,Senior,$155,000 - $185,000,"Kubernetes, Docker, Terraform, AWS, Linux, CI/CD, Python, Prometheus",https://www.cloudflare.com/careers,"Ensure 99.999% reliability for edge infrastructure, networking, and deployment pipelines.",Indeed
JOB005,Data Scientist - ML & Analytics,Spotify,New York NY,Remote,Mid-Level,$135,000 - $165,000,"Python, SQL, Machine Learning, Pandas, Scikit-Learn, PyTorch, Statistics",https://www.lifeatspotify.com,"Analyze listener behaviors, build recommendation models, and run high-volume A/B tests.",LinkedIn
JOB006,Machine Learning Engineer,Anthropic,San Francisco CA,On-site,Senior,$180,000 - $225,000,"Python, PyTorch, Deep Learning, NLP, Docker, Distributed Systems, MLops",https://jobs.lever.co/anthropic,"Train, evaluate, and deploy frontier conversational models with high safety standards.",Indeed
JOB007,Product Manager - Core Platform,Figma,San Francisco CA,Hybrid,Senior,$150,000 - $185,000,"Product Strategy, Agile, User Research, Roadmapping, Data Analysis, SQL",https://careers.figma.com,"Drive product roadmap, cross-functional engineering execution, and developer workflows.",LinkedIn
JOB008,UI/UX Product Designer,Notion,San Francisco CA,Remote,Mid-Level,$125,000 - $150,000,"Figma, UI Design, UX Research, Wireframing, Prototyping, Design Systems",https://www.notion.so/careers,"Craft seamless productivity interfaces, collaborative editing experiences, and systems.",Indeed
JOB009,Cloud Infrastructure Architect,HashiCorp,Denver CO,Remote,Senior,$170,000 - $210,000,"AWS, Azure, Terraform, Kubernetes, Linux, Networking, Security, Docker",https://www.hashicorp.com/careers,"Architect multi-cloud deployment paradigms and enterprise infrastructure configurations.",LinkedIn
JOB010,Cybersecurity Analyst,CrowdStrike,Reston VA,Remote,Mid-Level,$120,000 - $145,000,"Network Security, SIEM, Incident Response, Python, Linux, Vulnerability Assessment",https://www.crowdstrike.com/careers,"Detect, investigate, and remediate advanced security threats across enterprise endpoints.",Indeed
JOB011,Junior Software Engineer,GitHub,Chicago IL,Remote,Entry-Level,$95,000 - $115,000,"Python, JavaScript, Git, React, SQL, HTML, CSS",https://github.com/about/careers,"Contribute to developer tools, write automated tests, and collaborate with core teams.",LinkedIn
JOB012,Data Analyst,Pinterest,San Francisco CA,Hybrid,Entry-Level,$90,000 - $115,000,"SQL, Python, Tableau, Excel, Data Visualization, Statistics, Pandas",https://www.pinterestcareers.com,"Partner with growth teams to measure marketing campaigns, funnel drops, and retention.",Indeed
JOB013,Lead Backend Engineer,DoorDash,Sunnyvale CA,Hybrid,Senior,$175,000 - $210,000,"Java, Python, Microservices, Kafka, PostgreSQL, Docker, AWS",https://careers.doordash.com,"Scale dispatch algorithms, merchant integrations, and high-concurrency order routing.",LinkedIn
JOB014,Senior DevOps Specialist,Shopify,Remote,Remote,Senior,$150,000 - $180,000,"Kubernetes, Terraform, GCP, Docker, Ruby, CI/CD, Grafana, Datadog",https://www.shopify.com/careers,"Scale merchant storefront infrastructure during flash sale events and Black Friday traffic.",Indeed
JOB015,AI Research Scientist,Google DeepMind,Mountain View CA,Hybrid,Senior,$190,000 - $240,000,"Python, PyTorch, TensorFlow, Deep Learning, NLP, Computer Vision, Math",https://deepmind.google/about/careers,"Publish fundamental research and develop multimodal generative intelligence models.",LinkedIn
JOB016,Associate Product Manager,Duolingo,Pittsburgh PA,On-site,Entry-Level,$100,000 - $125,000,"Agile, User Research, Data Analysis, Product Design, SQL, Metrics",https://careers.duolingo.com,"Gamify learning mechanics, test engagement experiments, and drive learner retention.",Indeed
